actor,cast_ranking,character,episode_name
"Christopher Meloni,Mariska Hargitay,Richard Belzer,Dann Florek,James McCaffrey,Amy Ryan,Dean Winters,Stephen Beach,Michelle Hurd,Stephen Barker Turner,Peter Rini,Jerry Lanning,Angie Harmon,Leslie Hendrix,Leonid Citer,Anthony Mangano,Irene Mazeski,Scott Robertson,Joe Jamrog,Chris Orbach,Alex Sullivan,Michael Early,Ken Land,Zoe Yeoman,Carla Klein,Frank Anello,Robert Clohessy,Steven Zirnkilton",,"Elliot Stabler,Olivia Benson,John Munch,Donald Cragen,Jesse Hansen,Lorraine Hansen,Brian Cassidy,Ray Gunther,Monique Jeffries,Steven Hale,Officer Joe Bandolini,William Langdon,Abbie Carmichael,Dr. Elizabeth Rodgers,Andre Lasnik,Mancini,Cindy Stocklash,Attorney Shore,Detective Pete,Detective Ken Briscoe,Mikey,Gerald,Bob,DNA Tech,Victim Voiceover,NYPD Officer,Interviewing Detective,Opening Announcer",Bad Blood
"Christopher Meloni,Mariska Hargitay,Richard Belzer,Dann Florek,Olek Krupa,Nadine Stenovitch,Dean Winters,Michelle Hurd,Melissa Sagemiller,Allison Munn,Zhana Londoner,Spiro Malas,Michael Aronov,Russ Anderson,Jonathan Sharp,Deborah Rush,Guy Ale,Vitali Baganov,Dmitry Gliot,Chuck Lewkowicz,Chris Orbach,Portia Thomas,Raymond Michael Karl,Russell Hunston,Frank Anello,Steven Zirnkilton",,"Elliot Stabler,Olivia Benson,John Munch,Donald Cragen,Alex Strizkopf,Katya Ivanova,Brian Cassidy,Monique Jeffries,Becky Sorenson,Emily Harlin,Sonya Petrovich,Russian Businessman,Igor,Charlie Poe,Bull Dozer,Christina Harlin,Russian Cousin,Bartender,Mafia Type,Doorman,Detective Ken Briscoe,Receptionist,Policeman #1,Andrew Harlin,NYPD Officer,Opening Announcer",Russian Love Poem
"Christopher Meloni,Mariska Hargitay,Richard Belzer,Dann Florek,Kathryn Meisle,Jack Gwaltney,Dean Winters,Michelle Hurd,Bill Marcus,Kelly DeMartino,Linda Halaska,Angie Everhart,Leslie Hendrix,Brenda Pressley,Lanette Ware,David Mucci,Judy Frank,Frank Deal,Echo Allen,Chris Orbach,Ken Garito,Otto Sanchez,Pamela Fila,Charles Tuthill,Frank Anello,Steven Zirnkilton",,"Elliot Stabler,Olivia Benson,John Munch,Donald Cragen,Gina Silver,Roger Silver,Brian Cassidy,Monique Jeffries,Marcus, State Attorney General,Junkie,Judge Varella's Secretary,Emily Waterbury,Dr. Elizabeth Rodgers,Carole Pinto,Sheena Reid,Sergeant,Minnie Varella,Don Newvine,LaVonne,Detective Ken Briscoe,Uniform #1,Delfino Melendez,Jillian Silver,Peter Tyler,NYPD Officer,Opening Announcer",Disrobed
"Christopher Meloni,Mariska Hargitay,Richard Belzer,Michelle Hurd,Dann Florek,Jenny Bacon,Judith Hawking,Jenna Stern,Seana Kofoed,John Driver,Sam Freed,Isiah Whitlock Jr.,John Doman,Leslie Ayvazian,Harvey Atkin,Peter Francis James,Paul Reggio,Tom Bloom,Gustave Johnson,Francesca Rizzo,Nicholas J. Giangiulio,Kate Hampton,Michael Ornstein,Margaret Goodman,Frank Anello,Steven Zirnkilton",,"Elliot Stabler,Olivia Benson,John Munch,Monique Jeffries,Donald Cragen,Jennifer Neal,Victoria Kraft,A.D.A. Kathleen Eastman,Lois Creen,Police Commissioner Lyle Morris,Private Investigator,Robbery Division Captain,Dan Latimer,Judge Susan Valdera,Judge Alan Ridenour,Judge Kevin Beck,Roy,Andrew Garrick,Max,Ruby Mazzanti,Tony,Younger Quaker,Harvey Denis,Older Quaker Woman,NYPD Officer,Opening Announcer",Limitations
"Christopher Meloni,Mariska Hargitay,Richard Belzer,Michelle Hurd,Dann Florek,Josef Sommer,Noelle Beck,Katy Selverstone,Leslie Hendrix,Jesse Doran,Nahanni Johnstone,Sean Cullen,Jane Alexander,Angie Harmon,Steven Hill,Jesse L. Martin,Jerry Orbach,Sam Waterston,Betsy Aidem,Amy Hohn,Bill Hoag,Sophie Hayden,Jordan Lage,Samantha Buck,Thomas Schall,Chris Lindsay-Abaire,Chris Orbach,Randy Lewis,Greg Northrop,Steve Richard Harris,Anthony Barrile,Nick Muglia,Joe Pentangelo,Allison Krizner,David Toney,Michael Cavalier,Diane Cossa,Drew Richardson,Patrick F. Kline,Dara Brown,Jim Barry,Dennis Higgins,Patrick Tovatt,Frank Anello,Steven Zirnkilton",,"Elliot Stabler,Olivia Benson,John Munch,Monique Jeffries,Donald Cragen,Patrick Rumsey,Stephanie Mulroney,Emily Shore,Dr. Elizabeth Rodgers,Police Commissioner's Aide,Helen Katisch,Arthur Pruitt,Regina Mulroney,Abbie Carmichael,Adam Schiff,Ed Green,Lennie Briscoe,Jack McCoy,Pauline Brecker,Delia Woodruff,Barry Rhinehart,Dr. Winters,Alfred,Waitress,Doctor,Moira,Detective Ken Briscoe,CSU Tech,CSU Detective,Uniform,Lab Tech,Eddie,Sammy,Julie Templeton,Building Manager,Neighbor #1,Neighbor #2,Reporter #1,Snotty Guy,Snotty Girl,Reporter #2,Bailiff,Judge Barry Abrams,NYPD Officer,Opening Announcer",Entitled
"Christopher Meloni,Mariska Hargitay,Richard Belzer,Michelle Hurd,Dann Florek,Denis O'Hare,Eugene Byrd,Katherine Borowitz,Rick Gonzalez,Lance Reddick,Liz Larsen,J.K. Simmons,Vincent Guastaferro,William Charles Mitchell,Peggy Pope,David Adkins,Madison Arnold,Diego López,Francine Beers,P.J. Brown,Teddy Coluca,Cynthia Darlow,Patrick Garner,Michelle Hurst,Charlie Fersko,Randy Lewis,Natalia Ortiz,Philip McAdoo,José Rabelo,Welly Yang,Stu 'Large' Riley,John Rafael Peralta,Frank Anello,Steven Zirnkilton",,"Elliot Stabler,Olivia Benson,John Munch,Monique Jeffries,Donald Cragen,Jimmy Walp,Carlos Medina,A.D.A. Fahey,Alfonso,Dr. Taylor,Attorney Regal,Dr. Emil Skoda,Stan Bosick,Judge,Sylvia Walp,P.D. Trax,Owner,Emmanuel Clemente,Francis Reiner,Corelli,Landlord,Waitress,Patient #1,Gloria Milton,PD David Vento,C.S.U. Tech,Sonia Medina,Patient #2,Hispanic Man,CSU Technician Georgie,Johnny Schmidt,Hiphop,NYPD Officer,Opening Announcer",The Third Guy
"Christopher Meloni,Mariska Hargitay,Richard Belzer,Michelle Hurd,Dann Florek,Robert Foxworth,Anne Twomey,Richard Thompson,John Benjamin Hickey,Leslie Hendrix,Tom Lacy,Norbert Leo Butz,Harry Goz,Rich Hebert,Bo Foxworth,Linda Powell,Welly Yang,Chris Orbach,Jim Weston,Michael James Gannon,Al Thompson,Kelly Deadmon,Patrick Boll,Christopher Wells,Matthew Lawler,Iraida Polanco,Kirby Ward,Frank Anello,Amy Dorris,Steven Zirnkilton",,"Elliot Stabler,Olivia Benson,John Munch,Monique Jeffries,Donald Cragen,Dr. Ben Hadley,Sharon Hadley,Brad Weber,Assistant District Attorney,Dr. Elizabeth Rodgers,Professor,John Fenwick,Hotel Security Manager,Burglary Detective,Ben Hadley Jr.,CSU Tech Brice,CSU Technician Georgie,Detective Ken Briscoe,Dr. Weeman's Lawyer,Bartender,Tony,Lana Hoffman,Room Service Manager,Ben Weeman's Lawyer,Povill's Lawyer,Maid,Brad Weber's Lawyer,NYPD Officer,Sylvia Hadley,Opening Announcer",Misleader
"Christopher Meloni,Mariska Hargitay,Richard Belzer,Michelle Hurd,Dann Florek,Paz de la Huerta,Reed Birney,Jenna Stern,Ben Shenkman,Siobhan Fallon Hogan,Isabel Gillies,Erin Broderick,Rita Gardner,John C. Havens,Ellen Muth,Mark Zeisler,Angela Bullock,Jeffrey Bean,Adam LeFevre,Wally Dunn,Ray Fitzgerald,Mark Matkevich,Joanne Bayes,John Fiske,Richard C. Johnson,Frank Anello,Steven Zirnkilton",,"Elliot Stabler,Olivia Benson,John Munch,Monique Jeffries,Donald Cragen,Karen Raye,Harry Waters,A.D.A. Kathleen Eastman,Max Knaack,Melissa Raye,Kathy Stabler,Maureen Stabler,Doris Harrington,Johnstone,Elaine Harrington,McClintock,Hammond,Wallis,Principal,Michael Marolo,FBI Agent Shreck,Keith,Old Woman,Pedophile #1,Pedophile #2,NYPD Officer,Opening Announcer",Chat Room
"Christopher Meloni,Mariska Hargitay,Richard Belzer,Michelle Hurd,Dann Florek,Nicole Sullivan,Sal Viscuso,Bruce Bohne,Reiko Aylesworth,Peter Appel,Angel David,Peter Francis James,John Littlefield,Audra McDonald,Tom McCarthy,Sylvia Kauders,Gerard O'Brien,Richard Litt,Bruce Birns,Kamal Marayati,Rosalyn Coleman,Chris Orbach,Welly Yang,Michael Broughton,Leonora Pitts,Tracey Toomey,Danielle Fredatte,Dina Pearlman,Ellen Whyte,Kim Cea,Michelle Parylak,Christina Campanella,Wendy Walker,Tricia Paoluccio,Ron Castellano,Frank Anello,Christine Todd Whitman,Steven Zirnkilton",,"Elliot Stabler,Olivia Benson,John Munch,Monique Jeffries,Donald Cragen,Jen Caulder,Sal Avelino,Bruce Abbott,A.D.A. Erica Alden,Detective Greenberg,Uniform Policeman,Judge Kevin Beck,CPA Schreiber,Audrey Jackson,Nick Ganzner,Mare,ER Doctor,Super,Bruce's Lawyer,Ahmal,Flower Vendor,Detective Ken Briscoe,CSU TechCSU Technician Georgie,Mr. Dewell,Sidra Lonstein,Sporty Spice,Kelli,Lisa Scopes,Singer,Angry Woman,Meek Pink,Waitress,Mascara,Sal's Lawyer,Wrestler,NYPD Officer,Clerk in Precinct,Opening Announcer",Contact
"Christopher Meloni,Mariska Hargitay,Richard Belzer,Michelle Hurd,Dann Florek,Jennifer Esposito,Daniel Sunjata,Reiko Aylesworth,Josh Pais,Jayce Bartok,Kristen Lee Kelly,Christopher Evan Welch,Peter Francis James,Patrick Fitzgerald,Juan Carlos Hernández,Michael Medico,Richard Petrocelli,Richard V. Licata,Christa Scott-Reed,Sandra Daley,Chris Fischer,Jason Paul Field,Frank Anello,Carl Charroux,Steven Zirnkilton",,"Elliot Stabler,Olivia Benson,John Munch,Monique Jeffries,Donald Cragen,Sara Logan,Bomb Squad Officer,A.D.A. Erica Alden,Robert Sorenson,P.K.,Krieger's Date,William Lexner,Judge Kevin Beck,Tommy McConaugh,Prison Source,EMT,Buck,Bartender,Producer,Rosa Farris,Firefighter,Mark Krieger,NYPD Officer,Detective,Opening Announcer",Remorse
